Date,Time,Profile value
9/1/2014,12:00:00 AM,8.4
9/1/2014,12:30:00 AM,8.84
9/1/2014,1:00:00 AM,8.2
9/1/2014,1:30:00 AM,9.2
9/1/2014,2:00:00 AM,8.04
9/1/2014,2:30:00 AM,9.32
9/1/2014,3:00:00 AM,7.92
9/1/2014,3:30:00 AM,8.56
9/1/2014,4:00:00 AM,8.04
9/1/2014,4:30:00 AM,8.28
9/1/2014,5:00:00 AM,7.32
9/1/2014,5:30:00 AM,7.84
9/1/2014,6:00:00 AM,14.4
9/1/2014,6:30:00 AM,16.12
9/1/2014,7:00:00 AM,17.6
9/1/2014,7:30:00 AM,15.28
9/1/2014,8:00:00 AM,13.84
9/1/2014,8:30:00 AM,15.32
9/1/2014,9:00:00 AM,16.24
9/1/2014,9:30:00 AM,15.96
9/1/2014,10:00:00 AM,17.12
9/1/2014,10:30:00 AM,17.84
9/1/2014,11:00:00 AM,15.96
9/1/2014,11:30:00 AM,14.2
9/1/2014,12:00:00 PM,12.92
9/1/2014,12:30:00 PM,10.88
9/1/2014,1:00:00 PM,9.16
9/1/2014,1:30:00 PM,6.6
9/1/2014,2:00:00 PM,11.24
9/1/2014,2:30:00 PM,11.48
9/1/2014,3:00:00 PM,11.12
9/1/2014,3:30:00 PM,9.92
9/1/2014,4:00:00 PM,9.84
9/1/2014,4:30:00 PM,9.28
9/1/2014,5:00:00 PM,10.36
9/1/2014,5:30:00 PM,12.28
9/1/2014,6:00:00 PM,12.4
9/1/2014,6:30:00 PM,11.84
9/1/2014,7:00:00 PM,11
9/1/2014,7:30:00 PM,10.6
9/1/2014,8:00:00 PM,10.32
9/1/2014,8:30:00 PM,10
9/1/2014,9:00:00 PM,9.6
9/1/2014,9:30:00 PM,9.6
9/1/2014,10:00:00 PM,7.12
9/1/2014,10:30:00 PM,5.16
9/1/2014,11:00:00 PM,4.92
9/1/2014,11:30:00 PM,5.68
9/2/2014,12:00:00 AM,6.24
9/2/2014,12:30:00 AM,6.32
9/2/2014,1:00:00 AM,6.36
9/2/2014,1:30:00 AM,7.6
9/2/2014,2:00:00 AM,6.28
9/2/2014,2:30:00 AM,6.04
9/2/2014,3:00:00 AM,5.56
9/2/2014,3:30:00 AM,5.96
9/2/2014,4:00:00 AM,7.08
9/2/2014,4:30:00 AM,5.36
9/2/2014,5:00:00 AM,6.24
9/2/2014,5:30:00 AM,6.88
9/2/2014,6:00:00 AM,12
9/2/2014,6:30:00 AM,14.48
9/2/2014,7:00:00 AM,14.32
9/2/2014,7:30:00 AM,15.6
9/2/2014,8:00:00 AM,14.64
9/2/2014,8:30:00 AM,16.68
9/2/2014,9:00:00 AM,15.52
9/2/2014,9:30:00 AM,16.12
9/2/2014,10:00:00 AM,14.24
9/2/2014,10:30:00 AM,15.12
9/2/2014,11:00:00 AM,12.52
9/2/2014,11:30:00 AM,11.72
9/2/2014,12:00:00 PM,9.84
9/2/2014,12:30:00 PM,10.24
9/2/2014,1:00:00 PM,9.96
9/2/2014,1:30:00 PM,10.16
9/2/2014,2:00:00 PM,10.84
9/2/2014,2:30:00 PM,12.6
9/2/2014,3:00:00 PM,10.96
9/2/2014,3:30:00 PM,10.08
9/2/2014,4:00:00 PM,8.88
9/2/2014,4:30:00 PM,8.44
9/2/2014,5:00:00 PM,10.52
9/2/2014,5:30:00 PM,10.76
9/2/2014,6:00:00 PM,10.56
9/2/2014,6:30:00 PM,9.96
9/2/2014,7:00:00 PM,6.32
9/2/2014,7:30:00 PM,5.92
9/2/2014,8:00:00 PM,5.84
9/2/2014,8:30:00 PM,5.52
9/2/2014,9:00:00 PM,5.48
9/2/2014,9:30:00 PM,6.64
9/2/2014,10:00:00 PM,4.92
9/2/2014,10:30:00 PM,7.24
9/2/2014,11:00:00 PM,5.36
9/2/2014,11:30:00 PM,7.8
9/3/2014,12:00:00 AM,6.68
9/3/2014,12:30:00 AM,5.56
9/3/2014,1:00:00 AM,7.24
9/3/2014,1:30:00 AM,6.2
9/3/2014,2:00:00 AM,7.04
9/3/2014,2:30:00 AM,6.8
9/3/2014,3:00:00 AM,6.36
9/3/2014,3:30:00 AM,8.04
9/3/2014,4:00:00 AM,6.08
9/3/2014,4:30:00 AM,7.8
9/3/2014,5:00:00 AM,6.96
9/3/2014,5:30:00 AM,9.36
9/3/2014,6:00:00 AM,14.64
9/3/2014,6:30:00 AM,15.8
9/3/2014,7:00:00 AM,15.6
9/3/2014,7:30:00 AM,15.76
9/3/2014,8:00:00 AM,14.16
9/3/2014,8:30:00 AM,15.04
9/3/2014,9:00:00 AM,13.12
9/3/2014,9:30:00 AM,11.84
9/3/2014,10:00:00 AM,14.76
9/3/2014,10:30:00 AM,14.92
9/3/2014,11:00:00 AM,20.28
9/3/2014,11:30:00 AM,20.28
9/3/2014,12:00:00 PM,15
9/3/2014,12:30:00 PM,12.56
9/3/2014,1:00:00 PM,11.12
9/3/2014,1:30:00 PM,10.84
9/3/2014,2:00:00 PM,10.72
9/3/2014,2:30:00 PM,13.48
9/3/2014,3:00:00 PM,11.76
9/3/2014,3:30:00 PM,12
9/3/2014,4:00:00 PM,10.4
9/3/2014,4:30:00 PM,8.56
9/3/2014,5:00:00 PM,9.36
9/3/2014,5:30:00 PM,11.92
9/3/2014,6:00:00 PM,10.72
9/3/2014,6:30:00 PM,7.92
9/3/2014,7:00:00 PM,9.12
9/3/2014,7:30:00 PM,6.84
9/3/2014,8:00:00 PM,6.6
9/3/2014,8:30:00 PM,8.12
9/3/2014,9:00:00 PM,7.04
9/3/2014,9:30:00 PM,7.56
9/3/2014,10:00:00 PM,7.52
9/3/2014,10:30:00 PM,7.72
9/3/2014,11:00:00 PM,7.52
9/3/2014,11:30:00 PM,8.08
9/4/2014,12:00:00 AM,7.6
9/4/2014,12:30:00 AM,8.84
9/4/2014,1:00:00 AM,7.84
9/4/2014,1:30:00 AM,7.76
9/4/2014,2:00:00 AM,9.08
9/4/2014,2:30:00 AM,8.2
9/4/2014,3:00:00 AM,8.76
9/4/2014,3:30:00 AM,9.16
9/4/2014,4:00:00 AM,8.32
9/4/2014,4:30:00 AM,8.88
9/4/2014,5:00:00 AM,9.36
9/4/2014,5:30:00 AM,12.32
9/4/2014,6:00:00 AM,14.16
9/4/2014,6:30:00 AM,16.56
9/4/2014,7:00:00 AM,15.44
9/4/2014,7:30:00 AM,17
9/4/2014,8:00:00 AM,17.48
9/4/2014,8:30:00 AM,21.12
9/4/2014,9:00:00 AM,19.92
9/4/2014,9:30:00 AM,13.6
9/4/2014,10:00:00 AM,14.52
9/4/2014,10:30:00 AM,12.36
9/4/2014,11:00:00 AM,11.76
9/4/2014,11:30:00 AM,10.08
9/4/2014,12:00:00 PM,10
9/4/2014,12:30:00 PM,10.04
9/4/2014,1:00:00 PM,7.84
9/4/2014,1:30:00 PM,8.28
9/4/2014,2:00:00 PM,9.52
9/4/2014,2:30:00 PM,10.2
9/4/2014,3:00:00 PM,11.44
9/4/2014,3:30:00 PM,9.48
9/4/2014,4:00:00 PM,9.28
9/4/2014,4:30:00 PM,6.76
9/4/2014,5:00:00 PM,6
9/4/2014,5:30:00 PM,7.36
9/4/2014,6:00:00 PM,8.96
9/4/2014,6:30:00 PM,5.96
9/4/2014,7:00:00 PM,7.36
9/4/2014,7:30:00 PM,6.04
9/4/2014,8:00:00 PM,6.76
9/4/2014,8:30:00 PM,5.48
9/4/2014,9:00:00 PM,6.24
9/4/2014,9:30:00 PM,5.88
9/4/2014,10:00:00 PM,6.4
9/4/2014,10:30:00 PM,5.56
9/4/2014,11:00:00 PM,6.12
9/4/2014,11:30:00 PM,5
9/5/2014,12:00:00 AM,6.12
9/5/2014,12:30:00 AM,4.48
9/5/2014,1:00:00 AM,5.92
9/5/2014,1:30:00 AM,6.2
9/5/2014,2:00:00 AM,5.32
9/5/2014,2:30:00 AM,6.4
9/5/2014,3:00:00 AM,4.4
9/5/2014,3:30:00 AM,6.28
9/5/2014,4:00:00 AM,5.08
9/5/2014,4:30:00 AM,6.12
9/5/2014,5:00:00 AM,5.4
9/5/2014,5:30:00 AM,9.48
9/5/2014,6:00:00 AM,10.6
9/5/2014,6:30:00 AM,13.4
9/5/2014,7:00:00 AM,13.92
9/5/2014,7:30:00 AM,12.72
9/5/2014,8:00:00 AM,14.4
9/5/2014,8:30:00 AM,13.8
9/5/2014,9:00:00 AM,12.28
9/5/2014,9:30:00 AM,12.56
9/5/2014,10:00:00 AM,13.48
9/5/2014,10:30:00 AM,15.32
9/5/2014,11:00:00 AM,11.52
9/5/2014,11:30:00 AM,11.32
9/5/2014,12:00:00 PM,10.92
9/5/2014,12:30:00 PM,9.24
9/5/2014,1:00:00 PM,8.16
9/5/2014,1:30:00 PM,7.72
9/5/2014,2:00:00 PM,9.64
9/5/2014,2:30:00 PM,9.76
9/5/2014,3:00:00 PM,10.56
9/5/2014,3:30:00 PM,9.08
9/5/2014,4:00:00 PM,8.92
9/5/2014,4:30:00 PM,6.2
9/5/2014,5:00:00 PM,6.2
9/5/2014,5:30:00 PM,6.92
9/5/2014,6:00:00 PM,7.2
9/5/2014,6:30:00 PM,6.12
9/5/2014,7:00:00 PM,5.92
9/5/2014,7:30:00 PM,5.28
9/5/2014,8:00:00 PM,5.44
9/5/2014,8:30:00 PM,4.92
9/5/2014,9:00:00 PM,5
9/5/2014,9:30:00 PM,4.52
9/5/2014,10:00:00 PM,4.56
9/5/2014,10:30:00 PM,4.2
9/5/2014,11:00:00 PM,4.2
9/5/2014,11:30:00 PM,4.48
9/6/2014,12:00:00 AM,4.16
9/6/2014,12:30:00 AM,7
9/6/2014,1:00:00 AM,9.48
9/6/2014,1:30:00 AM,8.8
9/6/2014,2:00:00 AM,8.84
9/6/2014,2:30:00 AM,8.6
9/6/2014,3:00:00 AM,9.36
9/6/2014,3:30:00 AM,9.6
9/6/2014,4:00:00 AM,8.04
9/6/2014,4:30:00 AM,7.64
9/6/2014,5:00:00 AM,6.44
9/6/2014,5:30:00 AM,8.56
9/6/2014,6:00:00 AM,10.16
9/6/2014,6:30:00 AM,9.4
9/6/2014,7:00:00 AM,11.92
9/6/2014,7:30:00 AM,10.76
9/6/2014,8:00:00 AM,9.24
9/6/2014,8:30:00 AM,9.92
9/6/2014,9:00:00 AM,9.44
9/6/2014,9:30:00 AM,9.08
9/6/2014,10:00:00 AM,8.96
9/6/2014,10:30:00 AM,11.32
9/6/2014,11:00:00 AM,10.24
9/6/2014,11:30:00 AM,8.24
9/6/2014,12:00:00 PM,6.6
9/6/2014,12:30:00 PM,6
9/6/2014,1:00:00 PM,5.8
9/6/2014,1:30:00 PM,6.28
9/6/2014,2:00:00 PM,8.08
9/6/2014,2:30:00 PM,9.24
9/6/2014,3:00:00 PM,9.84
9/6/2014,3:30:00 PM,9.04
9/6/2014,4:00:00 PM,8.96
9/6/2014,4:30:00 PM,8.76
9/6/2014,5:00:00 PM,7.84
9/6/2014,5:30:00 PM,9
9/6/2014,6:00:00 PM,9.08
9/6/2014,6:30:00 PM,7.68
9/6/2014,7:00:00 PM,9.2
9/6/2014,7:30:00 PM,8.8
9/6/2014,8:00:00 PM,8.36
9/6/2014,8:30:00 PM,8.36
9/6/2014,9:00:00 PM,8.04
9/6/2014,9:30:00 PM,7.52
9/6/2014,10:00:00 PM,7.6
9/6/2014,10:30:00 PM,7.16
9/6/2014,11:00:00 PM,6.72
9/6/2014,11:30:00 PM,7.24
9/7/2014,12:00:00 AM,7.12
9/7/2014,12:30:00 AM,5.88
9/7/2014,1:00:00 AM,6.96
9/7/2014,1:30:00 AM,6.96
9/7/2014,2:00:00 AM,10.4
9/7/2014,2:30:00 AM,10.56
9/7/2014,3:00:00 AM,8.92
9/7/2014,3:30:00 AM,9.76
9/7/2014,4:00:00 AM,8.28
9/7/2014,4:30:00 AM,8.56
9/7/2014,5:00:00 AM,9.08
9/7/2014,5:30:00 AM,8.6
9/7/2014,6:00:00 AM,9.8
9/7/2014,6:30:00 AM,14
9/7/2014,7:00:00 AM,12.68
9/7/2014,7:30:00 AM,14.2
9/7/2014,8:00:00 AM,10.88
9/7/2014,8:30:00 AM,15.24
9/7/2014,9:00:00 AM,11.52
9/7/2014,9:30:00 AM,11.6
9/7/2014,10:00:00 AM,14.68
9/7/2014,10:30:00 AM,13.76
9/7/2014,11:00:00 AM,12.28
9/7/2014,11:30:00 AM,9.4
9/7/2014,12:00:00 PM,7.4
9/7/2014,12:30:00 PM,7
9/7/2014,1:00:00 PM,6.12
9/7/2014,1:30:00 PM,9.4
9/7/2014,2:00:00 PM,8.52
9/7/2014,2:30:00 PM,8.72
9/7/2014,3:00:00 PM,9.84
9/7/2014,3:30:00 PM,10
9/7/2014,4:00:00 PM,8.36
9/7/2014,4:30:00 PM,7.48
9/7/2014,5:00:00 PM,7.92
9/7/2014,5:30:00 PM,7.36
9/7/2014,6:00:00 PM,8.8
9/7/2014,6:30:00 PM,10.28
9/7/2014,7:00:00 PM,8.16
9/7/2014,7:30:00 PM,5.96
9/7/2014,8:00:00 PM,5.68
9/7/2014,8:30:00 PM,5.6
9/7/2014,9:00:00 PM,5.36
9/7/2014,9:30:00 PM,6.48
9/7/2014,10:00:00 PM,6.24
9/7/2014,10:30:00 PM,6.04
9/7/2014,11:00:00 PM,6.2
9/7/2014,11:30:00 PM,7
9/8/2014,12:00:00 AM,7.36
9/8/2014,12:30:00 AM,8.24
9/8/2014,1:00:00 AM,8.36
9/8/2014,1:30:00 AM,7.4
9/8/2014,2:00:00 AM,7
9/8/2014,2:30:00 AM,7.2
9/8/2014,3:00:00 AM,7.6
9/8/2014,3:30:00 AM,8.08
9/8/2014,4:00:00 AM,8.28
9/8/2014,4:30:00 AM,8.2
9/8/2014,5:00:00 AM,8.64
9/8/2014,5:30:00 AM,8.6
9/8/2014,6:00:00 AM,9.04
9/8/2014,6:30:00 AM,15.16
9/8/2014,7:00:00 AM,16.64
9/8/2014,7:30:00 AM,16.92
9/8/2014,8:00:00 AM,14.88
9/8/2014,8:30:00 AM,15.24
9/8/2014,9:00:00 AM,14.84
9/8/2014,9:30:00 AM,16.84
9/8/2014,10:00:00 AM,16.64
9/8/2014,10:30:00 AM,16.2
9/8/2014,11:00:00 AM,14.52
9/8/2014,11:30:00 AM,14.24
9/8/2014,12:00:00 PM,11.96
9/8/2014,12:30:00 PM,12.84
9/8/2014,1:00:00 PM,12.28
9/8/2014,1:30:00 PM,11.44
9/8/2014,2:00:00 PM,12.4
9/8/2014,2:30:00 PM,12.36
9/8/2014,3:00:00 PM,12.64
9/8/2014,3:30:00 PM,11.92
9/8/2014,4:00:00 PM,16.6
9/8/2014,4:30:00 PM,11.48
9/8/2014,5:00:00 PM,10.4
9/8/2014,5:30:00 PM,11.16
9/8/2014,6:00:00 PM,11.04
9/8/2014,6:30:00 PM,9.64
9/8/2014,7:00:00 PM,10.92
9/8/2014,7:30:00 PM,9.88
9/8/2014,8:00:00 PM,9.08
9/8/2014,8:30:00 PM,8.84
9/8/2014,9:00:00 PM,7.88
9/8/2014,9:30:00 PM,9.2
9/8/2014,10:00:00 PM,8.52
9/8/2014,10:30:00 PM,5.6
9/8/2014,11:00:00 PM,6.76
9/8/2014,11:30:00 PM,6.6
9/9/2014,12:00:00 AM,5.52
9/9/2014,12:30:00 AM,5.56
9/9/2014,1:00:00 AM,5.84
9/9/2014,1:30:00 AM,5.88
9/9/2014,2:00:00 AM,6.08
9/9/2014,2:30:00 AM,6.12
9/9/2014,3:00:00 AM,6.16
9/9/2014,3:30:00 AM,5.12
9/9/2014,4:00:00 AM,7.08
9/9/2014,4:30:00 AM,7
9/9/2014,5:00:00 AM,8.68
9/9/2014,5:30:00 AM,9.64
9/9/2014,6:00:00 AM,15.2
9/9/2014,6:30:00 AM,16.44
9/9/2014,7:00:00 AM,16.96
9/9/2014,7:30:00 AM,15.32
9/9/2014,8:00:00 AM,15.28
9/9/2014,8:30:00 AM,15.44
9/9/2014,9:00:00 AM,14.56
9/9/2014,9:30:00 AM,15.96
9/9/2014,10:00:00 AM,14.96
9/9/2014,10:30:00 AM,14.68
9/9/2014,11:00:00 AM,14.16
9/9/2014,11:30:00 AM,13.88
9/9/2014,12:00:00 PM,10.56
9/9/2014,12:30:00 PM,10.36
9/9/2014,1:00:00 PM,10.56
9/9/2014,1:30:00 PM,9.28
9/9/2014,2:00:00 PM,11.56
9/9/2014,2:30:00 PM,11.88
9/9/2014,3:00:00 PM,12.12
9/9/2014,3:30:00 PM,10.16
9/9/2014,4:00:00 PM,10.36
9/9/2014,4:30:00 PM,7.92
9/9/2014,5:00:00 PM,8
9/9/2014,5:30:00 PM,7.88
9/9/2014,6:00:00 PM,8.56
9/9/2014,6:30:00 PM,7.36
9/9/2014,7:00:00 PM,7.24
9/9/2014,7:30:00 PM,6.48
9/9/2014,8:00:00 PM,6.52
9/9/2014,8:30:00 PM,6.28
9/9/2014,9:00:00 PM,5.88
9/9/2014,9:30:00 PM,5.76
9/9/2014,10:00:00 PM,4.96
9/9/2014,10:30:00 PM,5.24
9/9/2014,11:00:00 PM,5.8
9/9/2014,11:30:00 PM,5.12
9/10/2014,12:00:00 AM,5.8
9/10/2014,12:30:00 AM,5.2
9/10/2014,1:00:00 AM,6.08
9/10/2014,1:30:00 AM,6.28
9/10/2014,2:00:00 AM,5.84
9/10/2014,2:30:00 AM,5.2
9/10/2014,3:00:00 AM,4.96
9/10/2014,3:30:00 AM,5.36
9/10/2014,4:00:00 AM,5.64
9/10/2014,4:30:00 AM,5.44
9/10/2014,5:00:00 AM,6.04
9/10/2014,5:30:00 AM,7.56
9/10/2014,6:00:00 AM,12.72
9/10/2014,6:30:00 AM,10.72
9/10/2014,7:00:00 AM,14.2
9/10/2014,7:30:00 AM,15.56
9/10/2014,8:00:00 AM,15.32
9/10/2014,8:30:00 AM,16.2
9/10/2014,9:00:00 AM,13.56
9/10/2014,9:30:00 AM,13.64
9/10/2014,10:00:00 AM,13.2
9/10/2014,10:30:00 AM,15.4
9/10/2014,11:00:00 AM,15.56
9/10/2014,11:30:00 AM,12.44
9/10/2014,12:00:00 PM,10.12
9/10/2014,12:30:00 PM,10.52
9/10/2014,1:00:00 PM,10.16
9/10/2014,1:30:00 PM,12.16
9/10/2014,2:00:00 PM,12
9/10/2014,2:30:00 PM,14.08
9/10/2014,3:00:00 PM,12.04
9/10/2014,3:30:00 PM,10.52
9/10/2014,4:00:00 PM,9.68
9/10/2014,4:30:00 PM,8.08
9/10/2014,5:00:00 PM,8.08
9/10/2014,5:30:00 PM,8.48
9/10/2014,6:00:00 PM,8.24
9/10/2014,6:30:00 PM,10.48
9/10/2014,7:00:00 PM,7.04
9/10/2014,7:30:00 PM,6.24
9/10/2014,8:00:00 PM,5.92
9/10/2014,8:30:00 PM,5.8
9/10/2014,9:00:00 PM,5.48
9/10/2014,9:30:00 PM,5.44
9/10/2014,10:00:00 PM,5.64
9/10/2014,10:30:00 PM,6.24
9/10/2014,11:00:00 PM,7.12
9/10/2014,11:30:00 PM,6.28
